"Código","Descrição"
"10101012","CONSULTA EM CONSULTÓRIO (NO HORÁRIO NORMAL OU PREESTABELECIDO)"
"10101020","CONSULTA EM DOMICÍLIO"
"10101039","CONSULTA EM PRONTO-SOCORRO"
"20101015","RAIO X DE TÓRAX (INCIDÊNCIAS PA E PERFIL)"
"20101023","RAIO X DE ABDÔMEN SIMPLES (AP)"
"20101031","RAIO X DE COLUNA LOMBO-SACRA (INCIDÊNCIAS AP E PERFIL)"
"20101040","RAIO X DE CRÂNIO (INCIDÊNCIAS PA E PERFIL)"
"20104017","TOMOGRAFIA COMPUTADORIZADA DE CRÂNIO"
"20104025","TOMOGRAFIA COMPUTADORIZADA DE TÓRAX"
"20104033","TOMOGRAFIA COMPUTADORIZADA DE ABDÔMEN SUPERIOR"
"20201015","ULTRASSONOGRAFIA DE ABDÔMEN TOTAL"
"20201023","ULTRASSONOGRAFIA DE ABDÔMEN SUPERIOR"
"20201031","ULTRASSONOGRAFIA PÉLVICA (VIA ABDOMINAL)"
"20201040","ULTRASSONOGRAFIA TRANSVAGINAL"
"20201058","ULTRASSONOGRAFIA OBSTÉTRICA"
"30101011","HEMOGRAMA COMPLETO"
"30101020","GLICEMIA DE JEJUM"
"30101038","UREIA"
"30101046","CREATININA"
"30101054","COLESTEROL TOTAL"
"30101062","COLESTEROL HDL"
"30101070","COLESTEROL LDL"
"30101089","TRIGLICERÍDEOS"
"30101097","ÁCIDO ÚRICO"
"30102017","HORMÔNIO TIREOESTIMULANTE (TSH)"
"30102025","TIROXINA LIVRE (T4 LIVRE)"
"30102033","TRIIODOTIRONINA (T3)"
"40101010","ELETROCARDIOGRAMA"
"40101029","ECOCARDIOGRAMA TRANSTORÁCI

CO"
"40101037","TESTE ERGOMÉTRICO"
"40201015","ESPIROMETRIA"
"40301010","ENDOSCOPIA DIGESTIVA ALTA"
"40301029","COLONOSCOPIA"
"40401015","MAMOGRAFIA BILATERAL"
"40501010","DENSITOMETRIA ÓSSEA"
